WAVELENGTH FLUX ERROR DQ
1607.9770007182976 -2.7582847030721558e-12 4.748246500846376e-12 0
1608.0034815589563 2.5294117928648108e-12 4.043361132022305e-12 0
1608.0299622294453 -4.576981155191007e-12 3.718509441336115e-12 0
1608.0564427297682 1.1748015754653451e-11 4.210817458605298e-12 0
1608.0829230599284 -6.823607976401413e-13 5.067929149255024e-12 0
1608.1094032199285 -7.567130949626133e-12 5.2689992126320195e-12 0
1608.1358832097728 -2.6967458214427475e-12 3.36940826801968e-12 0
1608.162363029464 6.609893838868675e-13 4.973496874755012e-12 0
1608.188842679005 1.2964128468656577e-12 4.232602549697484e-12 0
1608.2153221583999 -8.21562783082097e-12 4.989728682319727e-12 0
1608.2418014676514 4.0142297445073735e-14 4.427211201807335e-12 0
1608.2682806067628 5.7342351353351084e-12 3.733020403212661e-12 0
1608.2947595757378 -3.865191586932548e-12 4.3655539253006914e-12 0
1608.3212383745795 7.629487319693595e-12 4.458506480675695e-12 0
1608.3477170032909 2.816558618279341e-12 4.967006840550514e-12 0
1608.3741954618754 -2.386580082863743e-12 3.836414692870438e-12 0
1608.4006737503366 4.9431127593924096e-12 4.0150539143413155e-12 0
1608.4271518686776 7.52206109899678e-12 4.8234393909551976e-12 0
1608.4536298169014 1.0171518141643965e-11 5.3595062415867645e-12 0
1608.4801075950115 -1.7728855493046036e-12 3.741743460211611e-12 0
1608.5065852030114 -1.6420502110814361e-12 4.74889138429857e-12 0
1608.5330626409038 1.2718308394291111e-12 4.103718666964573e-12 0
1608.5595399086926 2.160951322396909e-12 5.026626684334623e-12 0
1608.586017006381 4.3137143163063385e-12 4.9230025438162794e-12 0
1608.6124939339718 6.100593988311864e-12 3.818440355574104e-12 0
1608.6389706914688 6.895194593244114e-13 4.845697627875456e-12 0
1608.6654472788744 -1.3027959787359489e-12 4.558660740561216e-12 0
1608.6919236961933 5.286218945216303e-12 4.239237866993095e-12 0
1608.7183999434276 -9.842310750044977e-14 4.852885454598166e-12 0
1608.7448760205814 5.248921523121064e-12 4.3128968278682844e-12 0
1608.771351927657 4.55883985076011e-12 4.115103657137409e-12 0
1608.7978276646586 4.478871700602793e-12 4.932295457477087e-12 0
1608.824303231589 7.372589518050976e-12 4.239898796637442e-12 0
1608.8507786284513 1.4808291311924071e-12 3.1784011186863914e-12 0
1608.8772538552496 9.187877021699098e-12 4.973324269769153e-12 0
1608.903728911986 2.0960596539693066e-12 3.905052930325281e-12 0
1608.9302037986652 8.281967125989276e-12 4.2538819688964224e-12 0
1608.9566785152892 -5.648251831524842e-12 4.255500899580378e-12 0
1608.9831530618621 6.533174608941428e-12 4.591477371918007e-12 0
1609.0096274383864 4.958052197967522e-12 4.666730543667619e-12 0
1609.0361016448664 -2.384699642615784e-12 3.3341651922008664e-12 0
1609.0625756813042 1.0339789788260667e-11 4.777770627045763e-12 0
1609.089049547704 -5.0350461647252764e-12 4.602311153706351e-12 0
1609.115523244069 1.4118332967560238e-13 4.4525377308757275e-12 0
1609.1419967704019 -2.5314323120334548e-12 4.768108650965441e-12 0
1609.1684701267063 -4.9950525486675e-12 4.036539331953026e-12 0
1609.194943312986 5.30402056910656e-13 5.274485275624796e-12 0
1609.221416329243 2.922865074972414e-12 3.856798561074903e-12 0
1609.2478891754818 2.6716929450026905e-12 4.321726136680137e-12 0
1609.274361851705 -1.994531059409943e-12 4.2867905405974405e-12 0
1609.3008343579163 1.9059813406371862e-13 4.255215971249449e-12 0
1609.3273066941185 7.01506127492868e-13 3.829987542391944e-12 0
1609.3537788603153 -4.940763076444199e-12 3.354278660383514e-12 0
1609.38025085651 5.0529237911878244e-12 4.321478071223073e-12 0
1609.4067226827053 1.2715259400941648e-11 5.226929999935237e-12 0
1609.4331943389054 1.7351194266101988e-12 3.373353679725355e-12 0
1609.4596658251126 -2.228798525946707e-12 3.5024407419453896e-12 0
1609.4861371413306 -7.538999806377955e-13 3.9282904186477285e-12 0
1609.5126082875631 -3.387968074489156e-12 3.498322291572986e-12 0
1609.5390792638127 1.776978195665302e-12 3.919528764051439e-12 0
1609.565550070083 6.435863994513902e-12 3.8837206020603254e-12 0
1609.592020706377 2.6349343713871765e-12 3.429211775651808e-12 0
1609.6184911726987 4.9937614807205044e-12 3.4683586298128732e-12 0
1609.6449614690503 6.9031256405560626e-12 3.918434153538097e-12 0
1609.671431595436 5.002710051771331e-12 4.52206024362245e-12 0
1609.6979015518584 1.1009053911548161e-12 3.506993740548525e-12 0
1609.7243713383214 -5.3099376024629e-13 3.0706325069435048e-12 0
1609.7508409548277 1.0028797237104925e-11 3.5812188717981863e-12 0
1609.7773104013809 1.5559784363738949e-12 3.6299951759743987e-12 0
1609.8037796779845 6.860188632440423e-12 3.667008103419578e-12 0
1609.830248784641 -7.306080219982025e-12 4.225589496364979e-12 0
1609.8567177213547 4.412849426149723e-12 3.757886796879051e-12 0
1609.8831864881279 -7.544182292762436e-13 3.04331928581425e-12 0
1609.9096550849645 1.7267857608214976e-13 3.362851880642226e-12 0
1609.9361235118674 7.105760207667955e-13 3.451109840610367e-12 0
1609.9625917688402 4.533622175589835e-12 3.2481341834950106e-12 0
1609.9890598558861 2.208564494482479e-12 3.655251448742014e-12 0
1610.0155277730082 -2.0098495350645562e-12 2.718292171216552e-12 0
1610.0419955202099 1.4101711978849445e-14 3.2740266660974404e-12 0
1610.0684630974945 -2.568208883405032e-12 2.5126751807685865e-12 0
1610.094930504865 -1.4714886210562272e-12 2.9827290810857665e-12 0
1610.121397742325 -3.958899614381339e-12 2.0243401139402595e-12 0
1610.1478648098773 2.8951307497193657e-12 3.733786283627305e-12 0
1610.1743317075259 3.6300198957839314e-12 3.1211914563317178e-12 0
1610.200798435274 -1.0343498789682631e-14 3.225351626404138e-12 0
1610.227264993124 2.652578460701771e-12 3.2154736772510573e-12 0
1610.2537313810801 2.3055338020661065e-12 3.0037539296146054e-12 0
1610.2801975991451 7.436883574241104e-12 3.473209567173008e-12 0
1610.3066636473225 4.701124472344942e-12 2.821478077216777e-12 0
1610.3331295256153 9.357851949928775e-13 2.966359146164277e-12 0
1610.359595234027 3.3508198386128507e-12 2.7880699051546776e-12 0
1610.3860607725605 4.910363023309661e-13 2.8716451959398537e-12 0
1610.41252614122 -2.959399869259527e-12 2.9838726975373042e-12 0
1610.4389913400075 3.843373969775188e-12 3.158236259320768e-12 0
1610.4654563689273 1.944753386107223e-12 2.510997703167317e-12 0
1610.4919212279822 -2.7484898038054872e-12 2.668139363962152e-12 0
1610.5183859171755 2.8889382205909975e-12 2.573831555871542e-12 0
1610.5448504365106 7.571450411081315e-12 2.706200064386821e-12 0
1610.5713147859908 2.7805023366210546e-13 2.410991762138992e-12 0
1610.5977789656192 -1.5207125923094589e-12 2.681196410725395e-12 0
1610.624242975399 5.378702691571924e-12 2.823943986637878e-12 0
1610.6507068153335 5.287599785103181e-12 2.4619893797261927e-12 0
1610.6771704854264 5.935460456463204e-12 2.726203811309613e-12 0
1610.7036339856807 8.679944783762661e-13 3.0038376300223213e-12 0
1610.7300973160993 3.864468207243066e-12 2.6866954841442414e-12 0
1610.7565604766858 8.931199963618797e-13 2.4082018931087523e-12 0
1610.7830234674436 4.271949981260459e-12 2.5925082393352117e-12 0
1610.8094862883759 -1.3309539017777872e-12 2.5465768816596013e-12 0
1610.8359489394857 1.6321384348205736e-12 2.408039479623314e-12 0
1610.8624114207767 6.023526295806381e-12 2.5726497755035327e-12 0
1610.8888737322518 1.4187584483973947e-12 2.730392734823228e-12 0
1610.9153358739143 4.36955593235977e-12 2.3544276337578163e-12 0
1610.9417978457677 1.1279190472238132e-12 3.0968678142728745e-12 0
1610.968259647815 4.192812329967266e-12 2.6391762039668087e-12 0
1610.99472128006 4.623252301827474e-12 2.2283236453951583e-12 0
1611.0211827425055 3.701239835451897e-12 2.986875070193351e-12 0
1611.0476440351547 -8.506571098562676e-13 3.44110287139876e-12 0
1611.0741051580108 6.647862598949117e-13 2.506440584595926e-12 0
1611.1005661110773 -1.334461837906864e-12 3.1341537438250855e-12 0
1611.1270268943579 -1.4605687536153877e-12 2.238357285980208e-12 0
1611.153487507855 -9.743389499080116e-15 2.394318033768772e-12 0
1611.1799479515726 3.9823385474674344e-13 2.270447501881434e-12 0
1611.2064082255135 3.187371156940233e-12 2.3888059499238556e-12 0
1611.232868329681 5.69641989828229e-13 2.604213285989365e-12 0
1611.2593282640787 -2.308359883448907e-12 2.2211889445789e-12 0
1611.2857880287095 -5.791252893905252e-13 2.245840015693834e-12 0
1611.3122476235772 -3.7518352682432143e-13 2.708703920883959e-12 0
1611.3387070486842 2.4658829665680226e-12 2.6672086848172905e-12 0
1611.3651663040346 3.911191574605677e-13 2.7173335196556403e-12 0
1611.391625389631 -2.4449242543717054e-12 2.5013110072774625e-12 0
1611.4180843054774 -5.321767874467975e-13 2.132232107890375e-12 0
1611.4445430515764 -6.587125051145393e-13 2.2405842372424933e-12 0
1611.4710016279316 -1.2026612344895327e-12 1.875076699811573e-12 0
1611.4974600345463 3.076256263612187e-12 2.210531454063802e-12 0
1611.5239182714236 2.884719373097422e-12 2.2059073317981515e-12 0
1611.5503763385666 1.4596334124011845e-12 2.4554063209752952e-12 0
1611.576834235979 -1.1101226275039844e-12 1.890189177053414e-12 0
1611.6032919636639 -7.184891787428982e-13 1.5656081032294766e-12 0
1611.6297495216247 1.5561771706321115e-12 2.160331375594682e-12 0
1611.6562069098645 -1.505132932351494e-12 2.0340402539370528e-12 0
1611.6826641283865 5.358575996122772e-13 1.7735098329155208e-12 0
1611.7091211771938 2.035375991013555e-12 2.2085055138842957e-12 0
1611.7355780562898 -1.3608951205529296e-12 1.788974459022985e-12 0
1611.7620347656784 4.0193239361774324e-12 2.1225118017331734e-12 0
1611.7884913053617 -1.8894029136379276e-12 1.546476054853363e-12 0
1611.814947675344 7.888329204251698e-13 1.975692396141704e-12 0
1611.841403875628 -1.3213842997225611e-12 2.3450377924227883e-12 0
1611.8678599062173 2.0299428370867956e-12 1.9622211841485715e-12 0
1611.894315767115 3.5640279789916907e-12 1.822492027084288e-12 0
1611.9207714583242 3.380121052845575e-12 1.7544879394801316e-12 0
1611.9472269798482 1.9754609460829325e-13 1.5392601472943856e-12 0
1611.9736823316907 1.8781395709488446e-12 2.170563208336862e-12 0
1612.0001375138545 -3.2338879837889856e-12 1.8460122753333197e-12 0
1612.026592526343 2.4459546801164356e-12 1.7778348238017827e-12 0
1612.0530473691595 4.2043273159805827e-13 1.7101467811309057e-12 0
1612.0795020423072 1.6458135852423506e-12 1.7312723520415685e-12 0
1612.1059565457897 -1.5573921817967074e-13 1.658855127914527e-12 0
1612.1324108796098 4.871631743841309e-12 1.7715475354035393e-12 0
1612.1588650437707 2.13783092790909e-12 2.035415239132199e-12 0
1612.185319038276 4.249494853225677e-12 1.7698546621314204e-12 0
1612.211772863129 2.092956233670784e-12 1.5313864542773614e-12 0
1612.238226518333 6.991212621841603e-13 1.830235615840614e-12 0
1612.2646800038906 3.9864260574203406e-14 1.3820334850492277e-12 0
1612.291133319806 4.319144000786146e-12 1.7001479434355926e-12 0
1612.3175864660818 9.884042369290302e-13 1.6894200881995003e-12 0
1612.3440394427216 1.608451544697631e-12 1.6665788757710964e-12 0
1612.3704922497286 2.0065547801876443e-13 2.1668010267983373e-12 0
1612.396944887106 -2.557808348804813e-12 1.2094160308645518e-12 0
1612.4233973548567 -1.5887383639570651e-12 1.9372196988914903e-12 0
1612.4498496529848 1.0952544210116044e-12 1.5743886229435677e-12 0
1612.4763017814928 4.148909514556376e-12 1.9156408230525113e-12 0
1612.5027537403844 -2.6860509801628074e-13 1.610612468047612e-12 0
1612.529205529663 9.917658057648215e-13 1.7202056836265744e-12 0
1612.5556571493312 4.991531818952788e-13 1.5852936368146442e-12 0
1612.5821085993925 1.7446169292209546e-12 1.7381595295018482e-12 0
1612.6085598798509 -1.2752369689741916e-13 1.428082153399901e-12 0
1612.6350109907085 -1.501077230179823e-13 1.5126319250977072e-12 0
1612.6614619319696 1.1949686032353135e-12 1.7583714432417574e-12 0
1612.6879127036366 1.2640074533928902e-12 1.6652527880939294e-12 0
1612.7143633057135 1.0647398761276516e-12 1.4356271163182277e-12 0
1612.740813738203 3.1364130043121108e-12 1.712785078697432e-12 0
1612.7672640011087 -7.297031360230244e-13 2.2004980303191868e-12 0
1612.7937140944339 6.298072415152067e-13 1.5147752843724938e-12 0
1612.8201640181817 -1.0120360495816105e-12 1.6973797584488026e-12 0
1612.846613772355 3.7530633982540973e-13 1.5372078610020878e-12 0
1612.8730633569576 -1.3601034361265807e-12 1.4379095787317442e-12 0
1612.8995127719927 -2.13048589187137e-12 1.6394161419033826e-12 0
1612.9259620174635 8.083734961798761e-13 1.531299067582259e-12 0
1612.952411093373 -2.0121103676447316e-13 1.4588935528386804e-12 0
1612.978859999725 6.678837170814855e-13 1.4245836498297249e-12 0
1613.005308736522 -2.520463086288713e-14 1.455684639668775e-12 0
1613.031757303768 -3.2190003158676095e-13 1.826876323829385e-12 0
1613.0582057014658 1.7158733201655396e-12 1.4772960415729286e-12 0
1613.084653929619 2.609791506166803e-12 1.4723432976287976e-12 0
1613.1111019882308 1.8021999908038322e-12 1.4766190657364286e-12 0
1613.137549877304 9.775039935475127e-13 1.5078341136440243e-12 0
1613.1639975968426 2.595412166433997e-12 1.4260765962212374e-12 0
1613.1904451468492 2.0447421967412227e-12 1.1636192226785469e-12 0
1613.2168925273272 -4.460027724743909e-13 1.3355298854669795e-12 0
1613.2433397382802 2.0730587385608956e-12 1.1763574055828618e-12 0
1613.2697867797112 1.0801990812242535e-12 1.3939476743024537e-12 0
1613.2962336516234 3.5567247931578283e-12 1.3345665718367261e-12 0
1613.3226803540203 -5.12495861720863e-13 1.244993366213143e-12 0
1613.349126886905 -9.780530335276594e-13 1.1173587012233699e-12 0
1613.3755732502807 1.6265544683716215e-12 1.3143256014785942e-12 0
1613.402019444151 2.2005659013751844e-12 1.1898758887907146e-12 0
1613.4284654685187 1.215343608087019e-13 1.4000844754391562e-12 0
1613.454911323387 2.1220180560638235e-12 1.2206520516588881e-12 0
1613.48135700876 9.879338016063888e-13 1.0299541167851922e-12 0
1613.5078025246398 -6.345949156785768e-13 1.18008792841795e-12 0
1613.5342478710306 2.0842906393869765e-12 1.138681163248556e-12 0
1613.560693047935 -3.432626633024377e-13 1.122082461668672e-12 0
1613.587138055357 9.619631480273227e-13 1.2982085025037282e-12 0
1613.613582893299 -2.7453451838244103e-12 9.785063384559756e-13 0
1613.6400275617648 -1.5881451969484983e-12 1.1813020180106992e-12 0
1613.6664720607578 4.657572613177285e-13 1.1255373803115143e-12 0
1613.6929163902807 9.139467611538055e-13 1.4157180202450936e-12 0
1613.719360550337 1.7567672577073479e-12 1.1332116885490184e-12 0
1613.74580454093 1.529902371238609e-13 1.1097098717369192e-12 0
1613.7722483620632 -1.4941553853550782e-12 1.2444238348119363e-12 0
1613.7986920137394 9.729168425759438e-13 1.1422600061997135e-12 0
1613.8251354959623 1.3233322857658658e-12 1.415284989897403e-12 0
1613.8515788087348 3.046556930341726e-12 1.2277466369947643e-12 0
1613.8780219520602 2.231593815987809e-12 1.2093404619731296e-12 0
1613.904464925942 5.498882057163035e-13 1.1778131638398581e-12 0
1613.930907730383 1.3209286095494654e-12 1.2606792779840115e-12 0
1613.9573503653871 1.751005211051565e-13 1.1736690178759668e-12 0
1613.983792830957 9.800841778775937e-13 1.2556429420523818e-12 0
1614.0102351270966 -5.320749605340104e-14 1.2131167381398966e-12 0
1614.0366772538084 6.559662210116335e-13 1.1157756576313238e-12 0
1614.0631192110961 2.2673579593707194e-12 1.2620347475400528e-12 0
1614.0895609989627 -8.824143672703233e-13 1.4981040496672704e-12 0
1614.1160026174118 3.619580492535829e-13 1.273763646642001e-12 0
1614.1424440664464 1.969104350060813e-12 1.3192665276190452e-12 0
1614.1688853460696 -2.398509721997927e-13 1.1680538264044471e-12 0
1614.195326456285 8.010319431416349e-14 8.62231455938528e-13 0
1614.221767397096 2.9049902674355144e-12 1.3005670759097532e-12 0
1614.2482081685052 4.342601853200151e-13 1.1290350165199525e-12 0
1614.2746487705165 1.002259473331657e-12 1.320412420895145e-12 0
1614.3010892031325 7.056254452270094e-13 1.2797145071061222e-12 0
1614.3275294663574 9.440249146633328e-13 1.2382001890812178e-12 0
1614.3539695601935 2.2751622634487045e-12 1.1035385929711317e-12 0
1614.3804094846448 7.341759578755047e-13 1.5101522463090156e-12 0
1614.4068492397141 1.449387485030762e-12 1.0124098824906835e-12 0
1614.4332888254048 2.985747228883423e-13 1.144058263922998e-12 0
1614.4597282417199 2.5336075468521124e-13 9.957557781797854e-13 0
1614.486167488663 9.711242227039563e-13 1.1365091810364158e-12 0
1614.5126065662373 8.834029970213042e-13 1.1103831612860326e-12 0
1614.5390454744459 1.7573070819690284e-12 1.1231301262279447e-12 0
1614.5654842132924 9.758542715218588e-13 1.018171115994837e-12 0
1614.5919227827796 -5.120143675360622e-13 1.0095853189909243e-12 0
1614.618361182911 -1.4879078329664563e-13 8.667053619931808e-13 0
1614.64479941369 8.306251194668823e-13 9.608968351906833e-13 0
1614.6712374751191 1.6463450069371943e-13 1.0112644228954526e-12 0
1614.6976753672025 9.2260183867654e-13 9.040089640408033e-13 0
1614.7241130899433 -1.1111822182871545e-12 9.137643983483934e-13 0
1614.7505506433445 3.5101359752848227e-13 1.0417524048261795e-12 0
1614.776988027409 -3.208501850706161e-14 8.415308922794795e-13 0
1614.8034252421405 -1.260257885869016e-14 1.0254766870734788e-12 0
1614.8298622875425 6.193522528608747e-14 8.636085011178019e-13 0
1614.8562991636177 -1.5791166117773425e-12 9.738428596514637e-13 0
1614.8827358703697 9.609289275749888e-13 9.164416187729119e-13 0
1614.9091724078016 -1.375352631262372e-12 1.0419195888011767e-12 0
1614.9356087759168 1.4097596787859823e-12 9.151763548376213e-13 0
1614.962044974718 8.716191830793196e-13 8.730366147895186e-13 0
1614.9884810042097 7.82331285257426e-14 1.037978513904192e-12 0
1615.0149168643939 -7.360851294810344e-13 8.507362566148591e-13 0
1615.0413525552744 6.551948653760187e-13 7.837926271556106e-13 0
1615.0677880768542 7.81810868214633e-13 1.0212606585055517e-12 0
1615.094223429137 9.818883987128268e-13 9.986341181073e-13 0
1615.1206586121257 6.421690436353433e-13 9.8820170796321e-13 0
1615.1470936258236 -5.331723560916823e-13 8.468690700959292e-13 0
1615.173528470234 1.5418133349903718e-12 9.511816247836924e-13 0
1615.19996314536 -7.676167102128872e-13 7.62838143347766e-13 0
1615.2263976512052 -9.62633293390136e-13 7.676579098954417e-13 0
1615.2528319877727 -4.907428088028742e-13 9.301093966199159e-13 0
1615.2792661550652 -6.434772419766643e-13 8.396089270883145e-13 0
1615.3057001530867 5.667119334570869e-13 9.103256343179211e-13 0
1615.3321339818403 1.0617623317013547e-12 8.416634359950659e-13 0
1615.3585676413293 1.0706896930471818e-13 8.705280420129302e-13 0
1615.3850011315567 -3.194858657143418e-13 9.9234748023036e-13 0
1615.4114344525256 2.759363917914648e-13 8.095578244229906e-13 0
1615.4378676042397 3.9338302580682605e-13 8.188498165119518e-13 0
1615.4643005867017 1.206728618939612e-12 9.82229163455639e-13 0
1615.4907333999158 -1.9102319552544156e-13 1.0115174756825107e-12 0
1615.5171660438843 6.551276990514332e-13 9.340892859546757e-13 0
1615.5435985186107 6.492201524641028e-13 9.049727113519257e-13 0
1615.5700308240985 -1.052747299057355e-12 9.099747864949048e-13 1024
1615.5964629603507 8.126607568305355e-13 9.170601561123148e-13 0
1615.622894927371 5.021153306507264e-13 8.960070641168827e-13 0
1615.649326725162 3.06786253302313e-13 8.414057211386661e-13 0
1615.6757583537276 3.0213293889316817e-13 8.416479319039993e-13 0
1615.7021898130702 -4.253055156319685e-13 9.298641500884997e-13 0
1615.7286211031937 1.6303333466236025e-12 1.0947095009997132e-12 0
1615.7550522241015 1.1099446895986888e-14 7.80492857843651e-13 0
1615.7814831757962 -1.4152740123504065e-13 8.561620379668455e-13 0
1615.8079139582815 9.851762418008891e-13 9.530745333566348e-13 0
1615.8343445715605 3.0929911409849353e-12 8.87855977974028e-13 0
1615.8607750156366 -5.2199869047479114e-14 7.751164619006212e-13 0
1615.8872052905133 7.073627165780916e-13 9.561182141154534e-13 0
1615.913635396193 -5.163924843287759e-13 1.182368439267556e-12 0
1615.9400653326795 1.0052062535213097e-13 8.899742921786302e-13 0
1615.9664950999763 7.230623435064421e-13 1.101699677666379e-12 0
1615.992924698086 4.289475946748361e-13 8.598475122016669e-13 0
1616.0193541270128 9.499676436111604e-13 8.635313059231209e-13 0
1616.0457833867586 6.909344515797222e-13 1.1985427841171292e-12 0
1616.0722124773279 1.4266424413350576e-12 9.565471244948887e-13 0
